First Name,Last Name,Email,Phone Number,Assigned Status,Advisor Name
Megan,Matthews,zclark@giles.net,236-189-2906,Working On,Advisor c
Katherine,Wallace,huffchad@gmail.com,647-964-5471,Assigned,Advisor g
Robert,Carlson,ryan08@yahoo.com,604-662-7034,Working On,Advisor h
Jonathan,Cruz,lyonspeter@howard-dennis.org,437-738-4543,New Client,Advisor a
William,Johnston,tammybrown@moore.com,604-183-4759,New Client,Advisor a
Richard,Roberts,alexandermaldonado@hotmail.com,437-728-0930,Assigned,Advisor c
Kristen,Lopez,paul42@hotmail.com,604-501-2566,New Client,Advisor a
Kevin,Lopez,vharmon@williams.info,437-756-0239,Working On,Advisor j
Thomas,Salazar,emily99@gmail.com,236-088-0402,Working On,Advisor i
Brandy,Douglas,pgoodman@gmail.com,437-359-1385,Assigned,Advisor a
Rebecca,Alvarez,hollymoore@walsh.org,236-475-1113,New Client,Advisor b
William,Davis,moralesjacqueline@yahoo.com,416-860-3478,Working On,Advisor j
Juan,Todd,seangreen@griffin.net,236-191-5384,Working On,Advisor c
Katelyn,Mcdowell,simpsonlarry@williams-carson.biz,437-749-2379,Working On,Advisor e
Christine,Mclean,monroedavid@morales.biz,604-271-8514,Assigned,Advisor b
John,Kirby,lewisjennifer@gmail.com,437-030-2507,Assigned,Advisor e
Renee,Villanueva,davidbanks@ramirez-good.com,604-056-8870,Working On,Advisor d
Tonya,Leblanc,bburton@yahoo.com,647-982-2990,Assigned,Advisor h
Lisa,Fernandez,callahandennis@hotmail.com,604-427-7089,Working On,Advisor d
Rachel,Myers,wigginsjoshua@gmail.com,647-700-3985,New Client,Advisor c
Kyle,Thornton,harrisjordan@potts-mays.com,236-255-5074,Working On,Advisor a
Jessica,Hill,xbowman@hotmail.com,437-212-8885,Assigned,Advisor i
Rachel,Cain,nicholascarter@hernandez.com,604-657-3426,New Client,Advisor b
Gabriella,Atkinson,morganchristine@gmail.com,416-271-3666,Working On,Advisor e
Thomas,Jacobson,edwardsilva@yahoo.com,778-450-7050,Assigned,Advisor g
Craig,Lawrence,kellywoods@gmail.com,437-264-1824,New Client,Advisor d
Ryan,Herring,hayden81@powell-murphy.biz,236-278-2527,Working On,Advisor i
Cheryl,Riley,hoffmantimothy@randall-cherry.com,416-695-9306,Working On,Advisor d
Robin,Hayes,fwilson@johnson-rogers.com,604-075-5110,Working On,Advisor a
Tammy,Keller,odrake@jones.com,647-771-8400,Assigned,Advisor g
Thomas,Davies,cruzcorey@stone.org,236-395-7592,Assigned,Advisor j
Michelle,Stark,omiller@richards-jackson.com,416-005-5325,New Client,Advisor c
Jorge,Leon,brownmichelle@hotmail.com,778-516-5809,Working On,Advisor c
Linda,Miller,mgoodwin@crawford.com,647-180-6294,Working On,Advisor a
Ana,Salazar,cindygarcia@gray-payne.com,778-034-2219,New Client,Advisor a
Alexis,Tucker,zhernandez@frazier.com,647-688-6425,Admin Reassign,Advisor i
Jennifer,Mccoy,mreid@hotmail.com,236-365-3998,Assigned,Advisor f
Raymond,Bruce,petersonsydney@meyers-johnson.com,416-157-0286,Working On,Advisor b
Mallory,Sanchez,meganaguilar@hotmail.com,236-262-1487,New Client,Advisor f
Elizabeth,Dennis,marshzachary@gmail.com,647-249-4251,Working On,Advisor d
Aaron,Wilson,davidturner@rivera-martin.com,236-897-7585,Assigned,Advisor h
Tristan,Robinson,william88@gmail.com,437-234-5645,Working On,Advisor g
Mikayla,Norton,burgessrebecca@roberts.biz,778-532-7358,New Client,Advisor g
John,Cook,olawson@gmail.com,647-906-0219,New Client,Advisor d
Mark,Cabrera,kevinhudson@jones-heath.com,236-961-0955,New Client,Advisor c
Monica,Garcia,dpatrick@gmail.com,437-402-1877,Assigned,Advisor h
James,Thomas,justingreer@mcmahon.biz,778-198-6347,Assigned,Advisor j
Ashley,Wolfe,mwu@miller.com,647-281-6732,Working On,Advisor d
John,Williams,carrpaul@gmail.com,236-899-3000,Working On,Advisor g
Tammy,Berry,bosborne@george.com,437-457-2678,Working On,Advisor b
Linda,Kent,james71@bishop.org,604-996-0369,Working On,Advisor h
Seth,Ferguson,montesjennifer@yahoo.com,437-985-4102,Working On,Advisor f
Christopher,Becker,vlloyd@lucero.com,778-560-5459,Assigned,Advisor b
Luke,Johnson,wwallace@gibson.com,416-270-9270,Working On,Advisor f
William,Reid,tuckerrachel@estrada.com,604-397-5450,Assigned,Advisor a
Sarah,Obrien,sonia26@hotmail.com,647-885-6400,New Client,Advisor c
Daniel,Johnston,wallsrobert@gmail.com,236-038-6528,Assigned,Advisor f
Andrea,Myers,jessicajohnson@yahoo.com,647-122-0285,Closed,Advisor a
Jasmine,Wood,ujohnson@hotmail.com,604-480-0626,Working On,Advisor j
Amy,Hooper,gomezdavid@hotmail.com,647-801-0081,Assigned,Advisor i
Lisa,Johnson,michael03@jones-barry.com,236-092-4727,Working On,Advisor b
Amber,Smith,donnadennis@adkins.com,437-849-4647,New Client,Advisor c
Tamara,Woodward,michelelopez@woods.com,778-914-3675,Working On,Advisor e
