Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes)
advisor a,advisor_a_gmail.com,2/3/2024 9:21,2/3/2024 11:11,111
advisor b,advisor_b_gmail.com,2/3/2024 9:21,2/3/2024 9:45,24
advisor c,advisor_c_gmail.com,2/3/2024 9:28,2/3/2024 9:39,12
advisor d,advisor_d_gmail.com,2/3/2024 9:30,2/3/2024 9:39,10
advisor e,advisor_e_gmail.com,2/3/2024 9:39,2/3/2024 11:11,93
advisor f,advisor_f_gmail.com,2/3/2024 9:39,2/3/2024 11:11,92
advisor g,advisor_g_gmail.com,2/3/2024 9:39,2/3/2024 11:11,93
advisor h,advisor_h_gmail.com,2/3/2024 9:39,2/3/2024 11:11,92
advisor i,advisor_i_gmail.com,2/3/2024 9:39,2/3/2024 11:11,92
advisor j,advisor_j_gmail.com,2/3/2024 9:43,2/3/2024 11:11,89
Megan Matthews,zclark@giles.net,2/3/2024 9:50,2/3/2024 11:11,81
Seth Ferguson,montesjennifer@yahoo.com,2/3/2024 9:50,2/3/2024 11:08,78
Andrea Myers,jessicajohnson@yahoo.com,2/3/2024 9:51,2/3/2024 11:11,81
Katherine Wallace,huffchad@gmail.com,2/3/2024 9:52,2/3/2024 11:11,80
Jasmine Wood,ujohnson@hotmail.com,2/3/2024 9:52,2/3/2024 11:07,75
Kristen Lopez,paul42@hotmail.com,2/3/2024 9:53,2/3/2024 11:11,79
Tammy Berry,bosborne@george.com,2/3/2024 9:54,2/3/2024 11:11,78
Tonya Leblanc,bburton@yahoo.com,2/3/2024 9:55,2/3/2024 11:11,77
Katelyn Mcdowell,simpsonlarry@williams-carson.biz,2/3/2024 9:56,2/3/2024 11:11,76
Ryan Herring,hayden81@powell-murphy.biz,2/3/2024 9:57,2/3/2024 11:11,75
Kyle Thornton,harrisjordan@potts-mays.com,2/3/2024 9:57,2/3/2024 11:11,75
Luke Johnson,wwallace@gibson.com,2/3/2024 9:59,2/3/2024 11:11,73
Raymond Bruce,petersonsydney@meyers-johnson.com,2/3/2024 9:59,2/3/2024 11:11,72
William Reid,tuckerrachel@estrada.com,2/3/2024 9:59,2/3/2024 11:11,72
Mikayla Norton,burgessrebecca@roberts.biz,2/3/2024 10:00,2/3/2024 11:11,71
Amy Hooper,gomezdavid@hotmail.com,2/3/2024 10:00,2/3/2024 11:11,71
Lisa Johnson,michael03@jones-barry.com,2/3/2024 10:01,2/3/2024 11:11,71
Michelle Stark,omiller@richards-jackson.com,2/3/2024 10:01,2/3/2024 11:11,71
Rebecca Alvarez,hollymoore@walsh.org,2/3/2024 10:01,2/3/2024 11:11,70
John Williams,carrpaul@gmail.com,2/3/2024 10:02,2/3/2024 11:11,70
Christine Mclean,monroedavid@morales.biz,2/3/2024 10:02,2/3/2024 11:11,70
Ana Salazar,cindygarcia@gray-payne.com,2/3/2024 10:02,2/3/2024 11:11,70
Alexis Tucker,zhernandez@frazier.com,2/3/2024 10:02,2/3/2024 11:11,69
William Johnston,tammybrown@moore.com,2/3/2024 10:03,2/3/2024 11:11,69
Lisa Fernandez,callahandennis@hotmail.com,2/3/2024 10:04,2/3/2024 11:11,68
Sarah Obrien,sonia26@hotmail.com,2/3/2024 10:04,2/3/2024 11:11,68
Brandy Douglas,pgoodman@gmail.com,2/3/2024 10:04,2/3/2024 10:19,16
Kevin Lopez,vharmon@williams.info,2/3/2024 10:04,2/3/2024 10:17,13
Jorge Leon,brownmichelle@hotmail.com,2/3/2024 10:05,2/3/2024 11:11,67
Richard Roberts,alexandermaldonado@hotmail.com,2/3/2024 10:05,2/3/2024 11:11,67
James Thomas,justingreer@mcmahon.biz,2/3/2024 10:05,2/3/2024 11:11,66
Tristan Robinson,william88@gmail.com,2/3/2024 10:05,2/3/2024 10:22,17
Robin Hayes,fwilson@johnson-rogers.com,2/3/2024 10:06,2/3/2024 11:11,66
Cheryl Riley,hoffmantimothy@randall-cherry.com,2/3/2024 10:06,2/3/2024 11:11,65
Craig Lawrence,kellywoods@gmail.com,2/3/2024 10:08,2/3/2024 11:11,64
Monica Garcia,dpatrick@gmail.com,2/3/2024 10:08,2/3/2024 11:11,63
Juan Todd,seangreen@griffin.net,2/3/2024 10:09,2/3/2024 11:11,63
Linda Miller,mgoodwin@crawford.com,2/3/2024 10:09,2/3/2024 11:11,63
Daniel Johnston,wallsrobert@gmail.com,2/3/2024 10:09,2/3/2024 11:11,63
Mark Cabrera,kevinhudson@jones-heath.com,2/3/2024 10:12,2/3/2024 11:11,59
Mallory Sanchez,meganaguilar@hotmail.com,2/3/2024 10:15,2/3/2024 11:11,56
Thomas Davies,cruzcorey@stone.org,2/3/2024 10:17,2/3/2024 11:11,55
Ashley Wolfe,mwu@miller.com,2/3/2024 10:17,2/3/2024 10:49,32
Robert Carlson,ryan08@yahoo.com,2/3/2024 10:19,2/3/2024 11:11,52
Rachel Cain,nicholascarter@hernandez.com,2/3/2024 10:20,2/3/2024 11:11,52
Jonathan Cruz,lyonspeter@howard-dennis.org,2/3/2024 10:22,2/3/2024 11:11,50
Linda Kent,james71@bishop.org,2/3/2024 10:23,2/3/2024 10:40,18
Aaron Wilson,davidturner@rivera-martin.com,2/3/2024 10:23,2/3/2024 11:11,48
Jennifer Mccoy,mreid@hotmail.com,2/3/2024 10:24,2/3/2024 11:10,47
Thomas Jacobson,edwardsilva@yahoo.com,2/3/2024 10:28,2/3/2024 11:11,44
Amber Smith,donnadennis@adkins.com,2/3/2024 10:28,2/3/2024 11:11,43
William Davis,moralesjacqueline@yahoo.com,2/3/2024 10:29,2/3/2024 11:11,42
Gabriella Atkinson,morganchristine@gmail.com,2/3/2024 10:38,2/3/2024 11:11,33
Rachel Myers,wigginsjoshua@gmail.com,2/3/2024 10:38,2/3/2024 11:11,33
Tamara Woodward,michelelopez@woods.com,2/3/2024 10:40,2/3/2024 11:11,32
